framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,512,0.03693
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,1024,0.03695
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,2048,0.04193
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,4096,0.03657
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,7168,0.03668
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,8192,0.0365
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,12288,0.04665
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,16384,0.05854
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,256,0.03706
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,512,0.03665
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,1024,0.03651
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,2048,0.03674
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,4096,0.03652
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,7168,0.05044
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,8192,0.0498
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,12288,0.08924
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,4096,16384,0.11628
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,256,0.03785
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,512,0.03801
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,1024,0.03769
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,2048,0.03829
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,4096,0.05204
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,7168,0.09562
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,8192,0.08642
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,12288,0.15641
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,7168,16384,0.20258
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,256,0.03793
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,512,0.03808
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,1024,0.0376
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,2048,0.03745
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,4096,0.05434
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,7168,0.09846
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,8192,0.10134
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,12288,0.16824
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,16384,0.20738
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,256,0.03862
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,512,0.03868
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,1024,0.03816
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,2048,0.03796
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,4096,0.07284
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,7168,0.14725
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,8192,0.1494
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,12288,0.2354
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,16384,0.29174
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,256,0.03784
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,512,0.03764
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,1024,0.03771
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,2048,0.05114
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,4096,0.09732
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,7168,0.19675
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,8192,0.19462
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,12288,0.32486
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,16384,0.405
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,256,0.03851
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,512,0.03824
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,1024,0.03967
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,2048,0.03746
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,4096,0.0374
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,7168,0.03752
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,8192,0.03804
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,12288,0.03745
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,16384,0.03755
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,256,0.03742
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,512,0.03942
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,1024,0.0382
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,2048,0.03771
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,4096,0.03774
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,7168,0.04349
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,8192,0.03823
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,12288,0.03905
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,16384,0.04187
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,256,0.03847
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,512,0.03795
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,1024,0.04013
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,2048,0.03829
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,4096,0.03987
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,7168,0.03848
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,8192,0.04273
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,12288,0.03767
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,16384,0.04812
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,256,0.03801
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,512,0.03862
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,1024,0.03774
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,2048,0.03812
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,4096,0.04044
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,7168,0.03956
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,8192,0.04094
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,12288,0.04692
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,2048,16384,0.05855
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,256,0.03852
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,512,0.03853
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,1024,0.03909
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,2048,0.04612
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,4096,0.03847
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,7168,0.04985
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,8192,0.05003
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,12288,0.09032
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,4096,16384,0.11455
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,256,0.04374
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,512,0.03871
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,1024,0.04027
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,2048,0.04499
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,4096,0.05235
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,7168,0.09553
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,8192,0.0842
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,12288,0.15559
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,7168,16384,0.20545
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,256,0.03977
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,512,0.03922
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,1024,0.04218
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,2048,0.03925
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,4096,0.05339
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,7168,0.09846
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,8192,0.10087
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,12288,0.16414
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,8192,16384,0.20422
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,256,0.0403
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,512,0.03793
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,1024,0.03918
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,2048,0.04656
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,4096,0.07518
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,7168,0.14352
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,8192,0.14534
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,12288,0.23231
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,12288,16384,0.28887
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,256,0.03884
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,512,0.04008
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,1024,0.03813
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,2048,0.04946
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,4096,0.10219
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,7168,0.1969
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,8192,0.19522
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,12288,0.32037
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,16384,16384,0.40449
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,256,0.03979
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,512,0.03738
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,1024,0.03851
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,2048,0.03892
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,4096,0.03825
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,7168,0.03743
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,8192,0.03747
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,12288,0.0377
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,256,16384,0.03741
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,256,0.03837
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,512,0.0405
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,1024,0.04363
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,2048,0.0386
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,4096,0.03914
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,7168,0.03854
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,8192,0.03805
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,12288,0.03824
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,512,16384,0.04089
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,256,0.03784
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,512,0.03816
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,1024,0.03846
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,2048,0.03757
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,4096,0.03789
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,7168,0.03881
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,8192,0.03844
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,12288,0.04219
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,1024,16384,0.04779
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,256,0.0382
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,512,0.04762
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,1024,0.03768
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,2048,0.03775
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,4096,0.0377
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,7168,0.03765
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,8192,0.03851
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,12288,0.04638
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,2048,16384,0.05957
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,256,0.03779
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,512,0.03811
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,1024,0.03789
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,2048,0.03786
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,4096,0.03784
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,7168,0.04981
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,8192,0.04972
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,12288,0.09072
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,4096,16384,0.11548
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,256,0.03815
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,512,0.0386
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,1024,0.03771
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,2048,0.03792
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,4096,0.05201
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,7168,0.09693
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,8192,0.08599
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,12288,0.15749
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,7168,16384,0.20369
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,256,0.03783
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,512,0.03787
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,1024,0.03773
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,2048,0.03788
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,4096,0.05868
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,7168,0.09838
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,8192,0.10024
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,12288,0.16585
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,8192,16384,0.20494
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,256,0.03846
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,512,0.03867
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,1024,0.0382
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,2048,0.03795
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,4096,0.07259
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,7168,0.14732
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,8192,0.14612
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,12288,0.23474
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,12288,16384,0.29489
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,256,0.03855
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,512,0.03848
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,1024,0.03988
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,2048,0.05457
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,4096,0.09682
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,7168,0.19189
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,8192,0.198
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,12288,0.3249
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,4,16384,16384,0.40267
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,256,0.03825
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,512,0.03931
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,1024,0.03805
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,2048,0.03902
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,4096,0.03936
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,7168,0.03817
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,8192,0.03839
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,12288,0.03756
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,256,16384,0.03841
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,256,0.0376
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,512,0.0396
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,1024,0.0377
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,2048,0.03775
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,4096,0.03746
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,7168,0.03738
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,8192,0.0376
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,12288,0.03748
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,512,16384,0.0379
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,256,0.03765
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,512,0.03784
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,1024,0.03789
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,2048,0.03763
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,4096,0.03805
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,7168,0.03785
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,8192,0.03815
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,12288,0.03799
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,1024,16384,0.0478
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,2048,256,0.03778
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,2048,512,0.03755
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,2048,1024,0.03745
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,2048,2048,0.03755
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,8,2048,4096,0.0377
